conversation_ID,floor_transfer_offset,conversation_time,t1_speaker,t2_speaker,t1_seq_initiating,t1_seq_responding,t1_seq_backchannel,t2_seq_initiating,t2_seq_responding,t2_seq_backchannel,t1_proc_clauses,t2_proc_clauses,t1_proc_frequency,t2_proc_frequency,t1_proc_concreteness,t2_proc_concreteness,t1_nonv_speaker_gaze,t1_nonv_listener_gaze,t1_nonv_pitch,t1_oth_sex,t2_oth_sex,t1_proc_speechrate,t2_proc_speechrate,t1_proc_duration,t2_proc_duration
DVA1A,-0.3509999999999991,262.455,2,1,no,no,no,no,no,no,9,2,394.2830188679245,394.9375,1.793297872340426,1.790769230769231,x-g,g,mid,F,F,0.8778198389589238,0.9236541309314072,24.98799999999997,4.2450000000000045
DVA1A,-0.6889999999999645,266.011,1,2,no,no,yes,no,no,no,2,6,394.9375,386.68518518518516,1.790769230769231,1.7080487804878048,g,g-x,mid,F,F,0.9236541309314072,0.949924254405561,4.2450000000000045,13.375
DVA1A,0.39599999999995816,279.386,2,1,no,no,no,no,no,yes,6,1,386.68518518518516,2702,1.7080487804878048,1.53,g,g-x,high,F,F,0.949924254405561,1.3606373483677054,13.375,0.17000000000001592
DVA1A,0.8389999999999986,279.952,1,2,no,no,yes,no,no,no,1,7,2702,519.010101010101,1.53,1.8868965517241378,g,x,mid,F,F,1.3606373483677054,0.9068891777715813,0.17000000000001592,25.119000000000028
DVA1A,1.6299999999999955,305.91,2,1,no,no,no,no,no,no,7,1,519.010101010101,520.7142857142857,1.8868965517241378,2.1350000000000002,g,g,mid,F,F,0.9068891777715813,1.0080655289245135,25.119000000000028,1.1499999999999773
DVA1A,0.34899999999998954,308.69,1,2,no,no,no,no,no,no,1,1,520.7142857142857,767.1428571428571,2.1350000000000002,1.426,g,g,mid,F,F,1.0080655289245135,1.1995393035218425,1.1499999999999773,1.650000000000034
DVA1A,-1.2230000000000132,309.466,2,1,no,no,no,no,no,no,1,NA,767.1428571428571,NA,1.426,NA,x,g,mid,F,F,1.1995393035218425,1.1709379429576898,1.650000000000034,1.9699999999999704
DVA1A,-0.6829999999999927,310.753,1,2,no,no,no,no,no,no,NA,5,NA,349.9818181818182,NA,1.8223913043478257,g,g,mid,F,F,1.1709379429576898,0.8540888695335918,1.9699999999999704,12.281000000000006
DVA1A,0.031999999999982265,323.034,2,1,no,no,no,no,no,no,5,1,349.9818181818182,394.1818181818182,1.8223913043478257,2.124285714285714,x,g,mid,F,F,0.8540888695335918,0.6768383014015853,12.281000000000006,1.670000000000016
DVA1A,1.103999999999985,324.736,1,2,no,no,no,no,no,no,1,1,394.1818181818182,152.5,2.124285714285714,1.5999999999999999,g,g,low,F,F,0.6768383014015853,1.2622320757223324,1.670000000000016,0.9200000000000159
DVA1A,1.2889999999999873,326.76,2,1,no,no,no,no,no,no,1,1,152.5,246,1.5999999999999999,2.0233333333333334,g,g,low,F,F,1.2622320757223324,1.344168340967219,0.9200000000000159,0.82000000000005
DVA1A,0.06899999999995998,328.869,1,2,no,no,no,no,no,yes,1,1,246,2702,2.0233333333333334,1.53,x,g,low,F,F,1.344168340967219,1.1995923170415752,0.82000000000005,0.19999999999998863
DVA1A,0.12400000000002365,329.138,2,1,no,no,yes,no,no,yes,1,2,2702,1055.6666666666667,1.53,1.5766666666666664,g,g,low,F,F,1.1995923170415752,0.9829899493414685,0.19999999999998863,1.0079999999999814
DVA1A,-0.4159999999999968,329.854,1,2,no,no,no,no,no,no,2,6,1055.6666666666667,593.4038461538462,1.5766666666666664,2.068222222222222,g,x,low,F,F,0.9829899493414685,0.9146476790481188,1.0079999999999814,12.276999999999987
DVA1A,-0.8819999999999482,341.249,2,1,no,no,no,no,no,no,6,1,593.4038461538462,236,2.068222222222222,2.1722222222222225,g,g,mid,F,F,0.9146476790481188,1.1946235258924258,12.276999999999987,3.770999999999958
DVA1A,0.26600000000001955,345.02,1,2,no,no,no,no,no,yes,1,2,236,1832.3333333333333,2.1722222222222225,1.4633333333333336,g,g,mid,F,F,1.1946235258924258,0.9420194145400813,3.770999999999958,1.641999999999996
